PracticeCode,PracticeName,PracticeListSize,AddressLine2,AddressLine3,Postcode,TelephoneNumber,HB
10002,Muirhead Medical Centre,8480,Liff Road,Muirhead,DD2 5NH,01382 580 264,S08000030
10017,The Blue Practice,7730,Crieff Medical Centre,King Street,PH7 3SA,01764 652 283,S08000030
10036,Aberfeldy And Kinloch Rannoch Medical Practice,4849,Taybridge Road,Aberfeldy,PH15 2BL,01887 820 366,S08000030
10106,Grove Health Centre,6407,129 Dundee Road,Broughty Ferry,DD5 1DU,01382 778 881,S08000030
10125,Alyth Health Centre,4657,New Alyth Road,Alyth,PH11 8EQ,01828 632 317,S08000030
10182,Arbroath Medical Centre LLP,9692,7 Hill Place,Arbroath,DD11 1AD,01241 431 144,S08000030
10233,The Abbey Practice,7047,East Abbey Street,Arbroath,DD11 1EN,01241 872 692,S08000030
10286,"East Practice, Springfield Medical Centre",5241,30 Ponderlaw Street,Arbroath,DD11 1ES,01241 870 311,S08000030
10322,"West Practice, Springfield Medical Centre",8626,30 Ponderlaw Street,Arbroath,DD11 1ES,01241 870 307,S08000030
10361,St Margaret's Health Centre,10964,St Margaret's Drive,Auchterarder,PH3 1JH,01764 662 614,S08000030
10407,Ardblair Medical Practice,7897,Ann Street,Blairgowrie,PH10 6EF,01250 872 033,S08000030
10445,Strathmore Surgery,4006,Jessie Street,Blairgowrie,PH10 6BT,01250 872 552,S08000030
10498,Brechin Medical Practice,8517,Brechin Health Centre,Infirmary Street,DD9 7AN,01356 624 411,S08000030
10638,Carnoustie Medical Group,13428,Parkview Primary Care Centre,Barry Road,DD7 7RB,01241 859 888,S08000030
10708,Comrie Medical Centre,2732,Strowan Road,Comrie,PH6 2LW,01764 670 217,S08000030
10746,Coupar Angus Medical Centre,6323,Candlehouse Lane,Coupar Angus,PH13 9DD,01828 627 312,S08000030
10835,The Red Practice,4051,Crieff Medical Centre,King Street,PH7 3SA,01764 652 456,S08000030
11058,Tay Court Surgery,10655,50 South Tay Street,Dundee,DD1 1PF,01382 228 228,S08000030
11096,Ancrum One,5130,Ancrum Medical Centre,12 Ancrum Road,DD2 2HZ,01382 669 500,S08000030
